Indonesia,Javanese
meskipun demikian  mayoritas para ibu telah menerima layanan prakelahiran dan pascakelahiran,parandosipun mayoritas para ibu sampun nampi ladosan prakelahiran uga pascakelahiran 
untuk kondisikondisi medis selain dari kehamilan atau proses kelahiran  penggunaan fasilitas canggih sangat tinggi,konjuk kondisikondisi medis kajawi saking kengandhegan utawi proses kelairan pangginan fasilitas canggih inggil sanget 
sebanyak  keluarga memanfaatkan fasilitas kesehatan modern selama sakit,sakathah keluarga ngginakaken fasilitas kesarasan modern salebetipun sakit 
terlebih lagi  hampir setiap keluarga   mengkonsumsi air matang,tirahtirah malih hampir saben keluarga mengkonsumsitoya matang 
hanya  keluarga yang masih tinggal di rumah berlantai tanah,namung keluarga ingkang taksih tilar ing griya berlantai siti 
menurut para warga  investasi awal yang dilakukan keluarga ketika mereka memiliki uang adalah membeli keramik,miturut para warga investasi awal ingkang dipuntumindakake keluarga nalika piyambake sedaya nggadhahi arta yaiku tumbas keramik 
hanya  keluarga usia produktif di parakantugu yang menggunakan kontrasepsi,namung keluarga umur produktif ing parakantugu ingkang ngginakaken kontrasepsi 
lebih lagi  imunisasi masih terlihat jarang  meski jauh lebih baik dibanding cibulakan,langkung malih imunisasi taksih keningal awis senaos tebih langkung sae dipunbanding cibulakan 
secara total  separo lebih sedikit dari bayi telah menerima imunisasi lengkap,sacara total separo langkung sekedhik saking bayi sampun nampi imunisasi pepak 
hampir  keluarga mengupayakan layanan medis modern selama sakit dan setiap keluarga di parakantugu mengkonsumsi air matang,hampir keluarga nyupadosaken ladosan medis modernsalebetipun sakit uga saben keluarga ing parakantugumengkonsumsi toya matang 
di samping itu  hanya  keluarga masih tinggal di rumah berlantai tanah,ing samping punika  namung keluarga taksih tilar ing griya berlantai siti 
sementara itu   pasangan usia subur menggunakan alat kontrasepsi,sementara punika  pasangan umur subur ngginakaken pirantos kontrasepsi 
menjelaskan penyebab rendahnya ratarata jumlah anggota sebuah keluarga di desa tersebut,mertelakaken penyebab andhapipun radinradin wilangan anggota setunggal keluarga ing dhusun kesebat 
tingkat imunisasi di antara para bayi masih relatif rendah  meskipun kebanyakan vaksin disediakan secara gratis oleh pemerintah,tingkat imunisasi ing antawis para bayi taksih relatif andhap senaosa kekathahen vaksin dipuncawisaken sacara gratisdening pamerentah 
sebanyak  bayi telah menerima imunisasi lengkap  sementara  bayi belum menerima vaksinasi polio,sakathah bayi sampun nampi imunisasi pepak sementara bayi dereng nampi vaksinasi polio 
sebanyak  kelahiran bayi dibantu oleh dokter atau bides  sementara sisanya ditangani oleh dukun beranak,sakathah kelairan bayi dibantu dening dokter utawi bides sementara tirahipun dipuntangani dening dukun nduwe anak 
selain itu   ibu menerima layanan prakelahiran dan sekitar  menerima layanan pascakelahiran,kajawi punika  ibu nampi ladosan prakelahiran uga sekitar nampi ladosan pascakelahiran 
fakta bahwa tidak adanya fasilitas layanan kesehatan permanen di desa dapat menjadi alasan terbaik untuk menjelaskan kondisi ini,fakta menawi mboten entenipun fasilitas ladosan kesarasan permanen ing dhusun saged dados alasan paling sae konjuk mertelakaken kondisi niki 
terakhir  hampir separo keluarga masih tinggal di rumahrumah berlantai tanah,paling akhir hampir separo keluarga taksih tilar ing griyagriya berlantai siti 
jika diteliti dari setiap jenis imunisasi  sekitar    anakanak telah diimunisasi,menawi diteliti saking saben jenis imunisasi sekitar anakanak sampun diimunisasi 
penggunaan layanan medis formal sangat tinggi di jungpasir,pangginan ladosan medis formal inggil sanget ing jungpasir 
sebanyak  kelahiran ditangani oleh dokter atau bides,sakathah kelairan dipuntangani dening dokter utawi bides 
hampir di setiap kehamilan  para ibu menerima layanan kesehatan prakelahiran dan pascakelahiran,hampir ing saben kengandhegan para ibu nampi ladosan kesarasan prakelahiran uga pascakelahiran 
lebih lagi   keluarga telah memanfaatkan fasilitas medis modern ketika sakit,langkung malih keluarga sampun ngginakaken fasilitasmedis modern nalika sakit 
terakhir   keluarga mengkonsumsi air matang  meskipun  masih tinggal di rumahrumah berlantai tanah,paling akhir keluarga mengkonsumsi toya matang senaosa taksih tilar ing griyagriya berlantai siti 
secara umum  pola konsumsi keluarga di keempat desa tersebut cukup baik,sacara umum pola konsumsi keluarga ing kaping sekawan dhusun kesebat cekap sae 
hampir setiap keluarga makan dua kali sehari,hampir saben keluarga tedha kaping kaling sadinten 
karakteristik keuangan karakteristik keuangan dapat diamati pada empat aspek seperti terlihat dalam tabel vii,karakteristik kartan karakteristik kartan saged dipunsangeti ing sekawan aspek kados keningal lebet tabel vii 
seperti telah diuraikan pada bagian vic  di desa cibulakan tidak terdapat lembaga kreditpinjaman resmi,kados sampun diuraikan ing kunjukan vic ing dhusun cibulakan mboten enten lembaga kreditsambetan resmi 
sebanyak  keluarga di cibulakan telah menerima pinjaman formal selama tiga tahun terakhir  hampir seluruhnya diberikan bank,sakathah keluarga ing cibulakan sampun nampi sambetan formal salebetipun telu taun paling akhir hampir sedayanipun dipunsukakna bank
di sisi lain  untuk pinjaman informal warga meminjam dari tetangga,ing sisi benten konjuk sambetan informal warga nyambet saking tanggi 
sementara itu   keluarga memiliki tabungan,sementara punika  keluarga nggadhahi tabungan 
cara lain untuk mendapatkan uang adalah dengan menggadaikan aset,cara benten konjuk nyagedaken arta yaiku kaliyan nggantosaken aset 
masyarakat parakantugu biasanya mendatangi bri di kadupandak ketika berurusan dengan lembaga keuangan formal,masyarakat parakantugu biyasanipun ndhatengi bri ing kadupandak nalika ngurusan kaliyan lembaga kartan formal 
sebanyak  keluarga telah mendapatkan pinjaman resmi dan  memiliki tabungan,sakathah keluarga sampun nyagedaken sambetan resmiuga nggadhahi tabungan 
hanya  keluarga yang menggadai asetnya dan hanya  yang terpaksa menjual asetnya untuk membayar utang,namung keluarga ingkang nggantos asetnya uga namung ingkang kepeksa sade asetnya konjuk membayar utang 
walaupun terdapat dua koperasi di jungpasir  hanya  keluarga mendapat utang dalam tiga tahun terakhir,mbasi enten kalih koperasi ing jungpasir namung keluarga nyaged utang lebet telu taun paling akhir 
sebanyak  keluarga telah memiliki tabungan,sakathah keluarga sampun nggadhahi tabungan 
terakhir  persentase keluarga yang telah menggadai asetnya relatif kecil  hanya sekitar ,paling akhir persentase keluarga ingkang sampun nggantos asetnya relatif alit namung sekitar 
 keluarga yang menjual asetnya untuk membayar utang, keluarga ingkang sade asetnya konjuk membayar utang 
mereka meyakini kejadian ini sebagai dampak dari semakin banyaknya remaja yang putus sekolah dan menganggur,piyambake sedaya mitadosi kedadosan niki dados dampaksaking tambah kathahipun remaja ingkang putus sekolah uga menganggur 
warga di keempat desa tersebut juga secara politik aktif,warga ing kaping sekawan dhusun kesebat ugi sacara politikaktif 
hal ini tampaknya didorong oleh akses informasi yang mudah,hal niki katingalipun dipunsurung dening akses informasi ingkang gampil 
partisipasi politik di parakantugu tetap tinggi walaupun hanya  warga yang selalu menonton tv dan membaca surat kabar,partisipasi politik ing parakantugu tetap inggil mbasi namung warga ingkang salajeng ningali tv uga maos serat prungon 
dalam praktiknya  dapat diamati adanya tingkat kebocoran dan kekurangtercakupan undercoverage,lebet praktiknya saged dipunsangeti entenipun tingkat kebocoran uga kekurangtercakupan undercoverage 
fenomena yang sama dapat dicermati dari distribusi kartu sehat bagi masyarakat miskin penerima program,fenomena ingkang sami saged dicermati saking distribusi kertos saras kunjuk masyarakat miskin panampi program 
secara keseluruhan  sekitar  kelompok nonmiskin menerima manfaat dari program ini,samudayanipun sekitar kelompok nonmiskin nampi gina saking program niki 
hanya  keluarga di jungpasir yang diklasifikasi sebagai masyarakat sejahtera ii dan sejahtra iii plus,namung keluarga ing jungpasir ingkang diklasifikasi dados masyarakat sejahtera ii uga sejahtra iii plus 
hasil ini memperlihatkan bahwa mekanisme penentuan sasaran masih kurang memadai,pikantuk niki ningalaken menawi mekanisme penentuan sasarantaksih kirang ngenteni 
hal ini menuntut perbaikan untuk menjamin penentuan sasaran secara lebih tepat,hal niki menuntut saen konjuk njamaken penentuan sasaransacara langkung tepat 
menyediakan  indikator kesejahteraan dengan nilai koefisien tertinggi  positif maupun negatif,nyawisaken indikator kesejahteraan kaliyan aos koefisienpaling inggil positif kersaa negatif 
keluarga terkaya memiliki skor sejahtera  dan yang termiskin mendapat ,keluarga paling sugih nggadhahi skor sejahtera uga ingkang termiskin nyaged  
di pihak lain  keluarga termiskin dikepalai oleh perempuan yang tidak tamat sd dan menganggur,ing pihak benten keluarga termiskin dipunsirahi dening estri ingkang mboten rampung sd uga menganggur 
bagian berikutnya merinci karakteristik  keluarga terkaya dan  keluarga termiskin di kedondong,kunjukan punikanipun merinci karakteristik keluarga paling sugih uga keluarga termiskin ing kedondong 
hampir tidak ada keluarga nonmiskin yang kepala keluarganya yang tidak menamatkan sd,hampir mboten enten keluarga nonmiskin ingkang sirah keluarganya ingkang mboten nyangetaken sd 
disparitas antara kelompok kaya dan miskin bahkan lebih besar lagi dalam hal tingkat pendidikan pasangannya,disparitas antawis kelompok sugih uga miskin bahkan langkung ageng malih lebet hal tingkat pamucalan pasanganipun 
terlebih lagi   pasangan dari keluarga kaya juga bekerja dan hanya  pasangan dari keluarga miskin yang bekerja,tirahtirah malih pasangan saking keluarga sugih ugi nyambut damel uga namung pasangan saking keluargamiskin ingkang nyambut damel 
proporsi anak usia sekolah yang bekerja antara keluarga kaya dan miskin sama,proporsi anak umur sekolah ingkang nyambut damel antawis keluarga sugih uga miskin sami 
hampir separo dari keluarga kaya bekerja di sektor jasa  seperempatnya di sektor perdagangan  dan nya di sektor pertanian,hampir separo saking keluarga sugih nyambut damel ing sektorjasa saprasakawanipun ing sektor gramenan uga nya ing sektor pertanian 
sebaliknya   keluarga miskin berada di sektor pertanian dan hampir seperempatnya menganggur,sawalikipun keluarga miskin wonten ing sektor pertanianuga hampir saprasakawanipun menganggur 
sebanyak  keluarga kaya telah menggadaikan asetnya  sementara pada keluarga miskin hanya  keluarga,sakathah keluarga sugih sampun nggantosaken asetnya sementara ing keluarga miskin namung keluarga 
kembali  hal ini terjadi akibat fakta bahwa keluarga miskin tidak memiliki aset untuk digadaikan,wangsul hal niki kedadosan akibat fakta menawi keluargamiskin mboten nggadhahi aset konjuk dipungantosaken 
sama halnya juga bahwa  keluarga kaya harus menjual asetnya untuk melunasi utang  sementara keluarga miskin hanya ,sami halnya ugi menawi keluarga sugih kedah sade asetnyakonjuk melunasi utang sementara keluarga miskin namung 
dari segi konsumsi makanan dan indikator kesehatan  perbedaan yang paling menonjol adalah dalam hal konsumsi daging,saking segi konsumsi tedhan uga indikator kesarasan bedan ingkang paling menonjol yaiku lebet hal konsumsi daging 
di pihak lain   keluarga kaya telah memiliki wc di rumahnya  dan keluarga miskin hanya ,ing pihak benten keluarga sugih sampun nggadhahi wcing griyanipun uga keluarga miskin namung 
demikian pun   keluarga miskin tinggal di rumah berlantai tanah dan keluarga kaya hanya ,mekaten pun keluarga miskin tilar ing griya berlantai siti uga keluarga sugih namung 
ini mungkin karena endogenitas  meskipun perlu dilakukan suatu investigasi untuk menentukan penyebabnya,niki bokmenawi amargi endogenitas senaosa betah dipuntumindakake mukawis investigasi konjuk menentukanpenyebabnya 
karena skor indikator kesembilan hingga kesebelas hanya berbeda tipis  tabel juga menyertakan indikator kesebelas,amargi skor indikator kesanga ngantos kesetunggal welas namung benten tipis tabel ugi mawikaken indikator kesetunggal welas 
dari tabel tersebut  nampak bahwa sembilan dari indikator tertinggi adalah kepemilikan aset,saking tabel kesebat nampak menawi sanga saking indikatorpaling inggil yaiku kepemilikan aset 
dari  indikator tersebut  hanya terdapat satu yang negatif  yakni tinggal di rumah berlantai tanah,saking indikator kesebat namung enten setunggal ingkang negatif yakni tilar ing griya berlantai lemah
keluarga terkaya memiliki tingkat sejahtera dengan skor   dan yang termiskin dengan skor ,keluarga paling sugih nggadhahi tingkat sejahtera kaliyan skor uga ingkang termiskin kaliyan skor 
tak satu pun dari  keluarga termiskin yang memiliki kulkas  telepon  penyejuk udara ac  parabola  komputer  atau mobil,mboten setunggala saking keluarga termiskin ingkang nggadhahi kulkas telepon penyejuk udara ac parabola komputer utawi mobil 
semuanya dimiliki oleh kebanyakan keluarga kaya,sedayanipun dipunpek dening kekathahen keluarga sugih 
satusatunya aset yang umum dimiliki oleh yang kaya atau yang miskin adalah tanah dan rumah,setunggalsetunggalipun aset ingkang umum dipunpek dening ingkang sugih utawi ingkang miskin yaiku siti uga griya 
keluarga miskin mungkin mewariskan aset ini karena aset ini yang paling berharga di desa,keluarga miskin bokmenawi marisaken aset niki amargi aset niki ingkang paling pangaos ing dhusun 
tingkat pendidikan kepala keluarga dari keluarga kaya juga lebih tinggi dari kepala keluarga miskin,tingkat pamucalan sirah keluarga saking keluarga sugih ugi langkung inggil saking sirah keluarga miskin 
tingkat pendidikan pasangannya memperlihatkan keadaan yang mirip,tingkat pamucalan pasanganipun ningalaken kawontenan ingkang mirip 
sebanyak  pasangan di keluarga kaya telah menamatkan pendidikan formal dibanding hanya  pasangan di keluarga miskin,sakathah pasangan ing keluarga sugih sampun nyangetaken pamucalan formal dipunbanding namung pasangan ing keluarga miskin 
terlebih lagi   pasangan keluarga kaya telah menamatkan pendidikan slta dan  telah tamat dari akademiuniversitas,tirahtirah malih pasangan keluarga sugih sampun nyangetaken pamucalan slta uga sampun rampung saking akademiuniversitas 
di antara masyarakat miskin hanya  yang telah menamatkan pendidikan sltp dan  yang menamatkan pendidikan slta,ing antawis masyarakat miskin namung ingkang sampun nyangetaken pamucalan sltp uga ingkang nyangetaken pamucalan slta 
terkait dengan pekerjaan  kepala keluarga kaya semuanya bekerja  sementara yang miskin angka pekerjanya hanya ,terkait kaliyan padamelan sirah keluarga sugih sedayanipun nyambut damel  sementara ingkang miskin angka panyambut damelipun namung 
tidak ada pekerja anak di keluarga kaya  sementara di  keluarga miskin di mana ada pekerja anak,mboten enten panyambut damel anak ing keluarga sugih sementara ing keluarga miskin ing pundi enten panyambut damel anak 
anakanak dari keluarga miskin mungkin terpaksa bekerja untuk membantu menafkahi keluarganya,anakanak saking keluarga miskin bokmenawi kepeksa nyambut damel konjuk mbiantu menafkahi keluarganya 
